purchaseorder,po_itemnumber,purchaserequisition,pr_itemnumber,po_serialnumber,po_returnsitem,po_purchasingdoctype,po_purchasingdoctypedesc,po_purchasingdocdate,po_deletionindicator,po_purchasingorg,po_purchasingorgdesc,po_companycode,po_companycodedesc,po_purchasinggroup,po_purchasinggroupdesc,po_vendornumber,po_vendorname,po_vendoraccountgroup,po_vendoraccountgroupdesc,po_supplierclassification,po_countrykey,po_localorinternational,po_plant,po_plantdesc,po_storageloc,po_createdon,po_createdby_name,po_documentyear,po_accountassignmentcat,po_accountassignmentcatdesc,po_accntassignmentcatvaluedesc,po_version,po_incoterms1,po_processingstatuscode,po_processingstatus,po_postingdate,po_approvaldate,po_paymentterms,po_paymenttermsdesc,material,materialdesc,materialgroup,materialgroupdesc,materialtype,materialtypedesc,po_deliverydate,po_unitofmeasure,po_orderpriceunit,po_orderquantity,po_priceunit,po_netprice,po_currency,po_netordervalue,po_netamount,po_deliveredqty,po_deliveredqtyvalue,po_pendingdeliveryqty,po_pendingdeliveryvalue,po_deliverycompleteindicator,po_paymentstatus,po_advancepayment,po_paymentdate,po_headerstatus,po_itemstatus,pr_documenttype,pr_creationdate,pr_createdby_name,pr_approvalstatuscode,pr_approvalstatus,pr_approveddate,pr_processingstatuscode,pr_processingstatus,pr_companycode,pr_companycodedesc,pr_plant,pr_plantdesc,pr_orderqty,pr_unitofmeasure,pr_closedindicator,pr_deletionindicator,recordskipindicator,lastchangedatetime
null,00000,2000130460,00010,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,100000075762,"""CUTTING DISC, STEEL, SIZE: 4.5"""" (115 MM)""",M031500,Accessories & Consumables,ZCON,Consumables,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20230909,Abel Khan,X,Approved,20230914,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,50,NO,null,null,null,null
null,00000,2000137276,00020,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,100000075805,"DRILL BIT, FLAT FOR WOOD, SIZE: 20 X 150",M031500,Accessories & Consumables,ZCON,Consumables,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20231014,Abel Khan,X,Approved,20231101,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,50,NO,null,null,null,null
null,00000,2000134826,00220,0,null,null,null,00000000,null,null,null,null,null,216,Ada Abua,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,100000074040,"SAFETY SHOES, LABOUR, SIZE: 45",G131160,Safety Shoes,ZCON,Consumables,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20231002,Ada Abua,X,Approved,20231014,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,50,PAA,null,null,null,null
null,00000,2000130460,00040,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,100000075417,"""BLADE, CIRCULAR SAW, SIZE: 7.0"""" (185 MM""",M031500,Accessories & Consumables,ZCON,Consumables,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20230909,Abel Khan,X,Approved,20230914,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,50,NO,null,null,null,null
null,00000,2000130460,00050,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,100000075426,"""BLADE, JIGSAW, NO. B 16 """"MAKITA"""" A-85684""",M031500,Accessories & Consumables,ZCON,Consumables,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20230909,Abel Khan,X,Approved,20230914,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,50,PAK,null,null,null,null
null,00000,2000114625,00010,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,100000073926,SAFETY HARNESS BELT WITH SHOCK ABSORBER,G131360,Safety Harness,ZCON,Consumables,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20230603,Abel Khan,X,Approved,20230619,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,100,NO,null,null,null,null
null,00000,2000137276,00010,0,null,null,null,00000000,null,null,null,null,null,216,Ada Abua,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,100000113532,DRILL BIT FLAT 25MMX150MM,M031500,Accessories & Consumables,ZCON,Consumables,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20231014,Ada Abua,X,Approved,20231101,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,100,NO,null,null,null,null
null,00000,2000130460,00070,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,100000076400,"PLIER, END NIPPER, 8""""",M031550,Small Tools,ZCON,Consumables,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20230909,Abel Khan,X,Approved,20230914,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,100,NO,null,null,null,null
null,00000,2000134826,00120,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,100000074024,"REFLECTIVE VEST,YELLOW, SIZE: XL, W/POCK",G131260,Jacket,ZCON,Consumables,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20231002,Abel Khan,X,Approved,20231014,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,100,NO,null,null,null,null
null,00000,2000134826,00130,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,100000074021,"REFLECTIVE VEST,YELLOW, SIZE: L, W/POCKE",G131260,Jacket,ZCON,Consumables,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20231002,Abel Khan,X,Approved,20231014,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,100,NO,null,null,null,null
null,00000,2000137276,00090,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,100000075417,"""BLADE, CIRCULAR SAW, SIZE: 7.0"""" (185 MM""",M031500,Accessories & Consumables,ZCON,Consumables,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20231014,Abel Khan,X,Approved,20231101,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,100,NO,null,null,null,null
null,00000,2000137276,00130,0,null,null,null,00000000,null,null,null,null,null,216,Ada Abua,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,100000077579,SCHOOL CHALK (1 X 100),G121130,Stationery Expenses,ZCON,Consumables,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20231014,Ada Abua,X,Approved,20231101,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,100,PAK,null,null,null,null
null,00000,2000126540,00030,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,100000074037,"SAFETY SHOES, LABOUR, SIZE: 42",G131160,Safety Shoes,ZCON,Consumables,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20230815,Abel Khan,X,Approved,20230819,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,100,PAA,null,null,null,null
null,00000,2000134826,00170,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,100000074035,"SAFETY SHOES, LABOUR, SIZE: 40",G131160,Safety Shoes,ZCON,Consumables,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20231002,Abel Khan,X,Approved,20231014,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,100,PAA,null,null,null,null
null,00000,2000134826,00210,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,100000074039,"SAFETY SHOES, LABOUR, SIZE: 44",G131160,Safety Shoes,ZCON,Consumables,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20231002,Abel Khan,X,Approved,20231014,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,100,PAA,null,null,null,null
null,00000,2000134826,00290,0,null,null,null,00000000,null,null,null,null,null,216,Ada Abua,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,100000074027,"SAFETY GOGGLES, (DARK) FOR STAFF",G131190,Goggles,ZCON,Consumables,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20231002,Ada Abua,X,Approved,20231014,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,100,NO,null,null,null,null
null,00000,2000126540,00040,0,null,null,null,00000000,null,null,null,null,null,430,Abel Khan,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,100000074038,"SAFETY SHOES, LABOUR, SIZE: 43",G131160,Safety Shoes,ZCON,Consumables,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20230815,Abel Khan,X,Approved,20230819,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,30,PAA,null,null,null,null
null,00000,2000137276,00040,0,null,null,null,00000000,null,null,null,null,null,216,Ada Abua,null,null,null,null,null,null,null,null,null,null,00000000,null,null,null,null,null,null,null,null,null,00000000,00000000,null,null,100000027489,"MEASURING TAPE, S/S, SIZE: 5 MTR",M031500,Accessories & Consumables,ZCON,Consumables,00000000,null,null,0,0,0,null,0,0,0,0,0,0,null,null,null,null,null,null,ZNPR,20231014,Ada Abua,X,Approved,20231101,B,B-PO created,9900,ABC logistics Limited,9900,ABC logistics Limited - LAGOS,30,NO,null,null,null,null
